ENTRY,DELTAG,UNCERTAINTY,REASON ENERGY COULD NOT BE ESTIMATED
R00001,Not calculated,Not calculated,Atoms imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R00197,Not calculated,Not calculated,Involves unknown structures
R00198,Not calculated,Not calculated,Involves unknown structures
R00199,-2.207,0.98629,
R00200,4.61,0.654305,
R00203,-9.803,1.17612,
R00205,-9.803,1.17612,
R00206,3.184,0.98629,
R00207,-36.1557,1.06552,
R00208,-11.427,0.955631,
R00209,-8.136,1.5977,
R00210,-8.136,1.5977,
R00211,-39.8457,1.3995,
R00212,5.046,1.20772,
R00213,-6.463,1.43389,
R00214,1.32,1.21702,
R00215,1.32,1.21702,
R00216,1.32,1.21702,
R00217,-4.9,0.530953,
R00218,-55.733,4.70316,
R00219,13.12,0.894521,
R00220,-7.51,0.642791,
R00221,-7.51,0.642791,
R00223,-7.51,0.642791,
R00224,-3.44,0.768174,
R00226,10.53,0.730313,
R00227,-7.297,1.30654,
R00228,-4.696,1.59722,
R00229,0.48,1.31223,
R00230,3.69,1.22568,
R00233,-4.9,0.530953,
R00234,Not calculated,Not calculated,Atoms imbalanced|H imbalanced|Involves groups with unknown energies
R00235,-0.946,1.32913,
R00236,-24.586,1.17022,
R00237,3.17,0.436072,
R00238,7.056,1.08737,
R00239,2.63,0.290389,
R00240,2.63,0.290389,
R00241,2.63,0.290389,
R00243,8.687,1.31216,
R00245,-9.803,1.17612,
R00248,8.687,1.31216,
R00250,-23.0227,1.06194,
R00251,-4.14,1.46627,
R00253,-2.094,0.888971,
R00254,-2.727,1.29616,
R00256,-4.723,0.88056,
R00257,-8.243,0.748021,
R00258,0,2,
R00259,-5.294,1.25997,
R00260,0,2,
R00261,-3.09,0.5417,
R00262,1.81,0.257149,
R00263,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R00264,-9.803,1.17612,
R00265,-8.136,1.5977,
R00267,3.13,1.24076,
R00268,Not calculated,Not calculated,Charge imbalanced
R00269,-4.723,0.88056,
R00270,4.723,0.88056,
R00271,8.927,1.30861,
R00272,-4.09,0.595908,
R00273,-40.4297,1.32288,
R00274,-74.146,2.07557,
R00275,Not calculated,Not calculated,Charge imbalanced
R00276,42.8859,1.11803,
R00277,-25.5727,1.06331,
R00278,-28.0397,0.779795,
R00279,-23.0227,1.06194,
R00280,Not calculated,Not calculated,Involves unknown structures
R00281,Not calculated,Not calculated,Involves unknown structures
R00282,Not calculated,Not calculated,Involves unknown structures
R00283,Not calculated,Not calculated,Involves unknown structures
R00284,Not calculated,Not calculated,Involves unknown structures
R00286,-4.583,2.15919,
R00287,-9.313,0.746895,
R00289,1.07,0.746895,
R00291,0,2,
R00292,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R00293,-13.897,0.681919,
R00294,Not calculated,Not calculated,Involves unknown structures
R00295,Not calculated,Not calculated,Involves unknown structures
R00296,Not calculated,Not calculated,Involves unknown structures
R00297,Not calculated,Not calculated,Involves unknown structures
R00298,Not calculated,Not calculated,Involves unknown structures
R00299,-4.5,0.23673,
R00300,-2,1.60921,
R00301,-1.76,1.6592,
R00302,-29.4097,0.804858,
R00303,-2.317,0.735634,
R00304,-2.317,0.735634,
R00305,Not calculated,Not calculated,Involves unknown structures
R00306,-3.113,0.692797,
R00307,-0.89,0.608878,
R00308,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R00310,Not calculated,Not calculated,Charge imbalanced|Involves compounds with unlabeded atoms
R00311,Not calculated,Not calculated,Involves unknown structures
R00312,Not calculated,Not calculated,Involves unknown structures|Involves compounds with unlabeded atoms
R00313,Not calculated,Not calculated,Involves unknown structures|Involves compounds with unlabeded atoms
R00314,Not calculated,Not calculated,Involves unknown structures|Involves compounds with unlabeded atoms
R00315,4.17,0.577829,
R00316,23.64,0.866551,
R00317,-10.987,0.904987,
R00318,-7.097,0.981646,
R00319,-117.987,1.03126,
R00320,5.596,0.904987,
R00321,-6.263,1.0124,
R00322,-31.883,0.866551,
R00324,-14.353,0.734921,
R00325,1.63,0.663776,
R00326,Not calculated,Not calculated,Involves unknown structures
R00327,-3.683,0.840143,
R00328,-6.817,0.717554,
R00329,Not calculated,Not calculated,Involves unknown structures
R00330,0,2,
R00331,0,2,
R00332,0,2,
R00333,0,2,
R00334,0,2,
R00335,-6.817,0.717554,
R00336,-3.743,0.745682,
R00337,-4.813,0.694983,
R00338,-11.613,0.934281,
R00339,-8.167,0.693353,
R00340,-8.167,0.693353,
R00341,-0.29,0.82841,
R00342,6.22,1.09509,
R00343,6.22,1.09509,
R00344,-1.074,0.739456,
R00345,6.527,1.0823,
R00346,1.136,1.0823,
R00347,-5.7,0.686677,
R00348,-4.723,0.88056,
R00350,3.17,0.436072,
R00351,8.927,1.30861,
R00352,2.11,1.31428,
R00353,0,2,
R00354,3.17,0.436072,
R00355,0,2,
R00356,Not calculated,Not calculated,Charge imbalanced
R00357,-23.0227,1.06194,
R00359,-23.0227,1.06194,
R00360,-25.4897,0.777929,
R00361,Not calculated,Not calculated,Involves unknown structures
R00362,1.63,0.663776,
R00363,8.22,0.73053,
R00364,Not calculated,Not calculated,Involves unknown structures
R00365,10.147,1.30406,
R00366,-21.5627,1.05191,
R00367,-10.46,2.36612,
R00368,9.207,1.51055,
R00369,-1.46,0.300689,
R00370,5.246,1.09265,
R00371,5.246,1.09265,
R00372,1.46,0.300689,
R00373,1.46,0.300689,
R00374,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R00375,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R00376,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R00377,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R00378,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R00379,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies
R00380,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies
R00381,Not calculated,Not calculated,Involves unknown structures
R00382,Not calculated,Not calculated,Involves unknown structures
R00383,-5.757,1.20727,
R00384,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R00385,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R00387,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R00388,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R00389,Not calculated,Not calculated,Involves unknown structures
R00390,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R00391,7.056,1.08737,
R00392,Not calculated,Not calculated,Involves unknown structures
R00393,1.54,0.523643,
R00394,Not calculated,Not calculated,Involves unknown structures
R00395,9.006,1.21096,
R00396,8.687,1.31216,
R00397,-4.9,0.530953,
R00398,9.207,1.51055,
R00399,7.056,1.08737,
R00400,0,2,
R00401,0,2,
R00402,15,1.26077,
R00405,-1.06,1.21342,
R00406,0,2,
R00407,-5.757,1.20727,
R00408,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R00409,4.98,0.449096,
R00410,0,2,
R00411,-0.463,0.848213,
R00412,Not calculated,Not calculated,Involves unknown structures
R00414,-4.813,0.694983,
R00415,1.07,0.746895,
R00416,1.07,0.746895,
R00417,Not calculated,Not calculated,Involves unknown structures
R00418,0,2,
R00419,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R00420,0,2,
R00421,-4.583,2.15919,
R00422,Not calculated,Not calculated,Involves unknown structures
R00423,Not calculated,Not calculated,Involves unknown structures
R00424,-16.893,1.79172,
R00425,-18.539,2.79153,
R00426,-8.243,0.748021,
R00428,-9.793,2.46318,
R00429,-4.5,0.23673,
R00430,4.61,0.654305,
R00431,-0.29,0.82841,
R00432,-1.06,1.21342,
R00434,1.05,2.1824,
R00435,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
